"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2021","16.616","16.600","16.836","16.537","4.37M","0.19%"
"01/05/2021","16.442","16.616","16.710","16.301","3.58M","-1.05%"
"01/06/2021","17.088","16.505","17.324","16.505","12.14M","3.93%"
"01/07/2021","17.214","17.198","17.324","16.883","5.52M","0.74%"
"01/08/2021","17.214","17.293","17.356","17.072","4.30M","0.00%"
"01/11/2021","17.214","17.198","17.513","16.946","5.01M","0.00%"
"01/12/2021","17.639","17.340","17.734","17.277","5.31M","2.47%"
"01/13/2021","19.057","18.033","19.356","17.954","15.96M","8.04%"
"01/14/2021","19.813","19.403","20.395","19.214","12.58M","3.97%"
"01/15/2021","19.277","19.750","19.797","18.883","6.83M","-2.71%"
"01/18/2021","19.309","19.135","19.592","18.962","3.95M","0.17%"
"01/19/2021","19.293","19.529","19.734","19.230","4.05M","-0.08%"
"01/20/2021","19.498","19.372","19.813","19.293","5.61M","1.06%"
"01/21/2021","19.750","19.671","20.017","19.513","7.79M","1.29%"
"01/22/2021","19.529","19.702","19.923","19.214","3.83M","-1.12%"
"01/25/2021","19.529","19.765","19.781","19.372","3.69M","0.00%"
"01/26/2021","19.923","19.482","20.096","19.403","7.51M","2.02%"
"01/27/2021","19.986","20.002","21.057","19.813","14.32M","0.32%"
"01/28/2021","20.301","19.844","20.553","19.261","8.32M","1.58%"
"01/29/2021","20.632","19.781","21.088","19.781","7.50M","1.63%"
"02/01/2021","20.222","20.978","21.041","20.128","5.19M","-1.99%"
"02/02/2021","20.128","20.395","20.632","20.065","5.22M","-0.46%"
"02/03/2021","20.695","20.159","20.884","20.159","6.19M","2.82%"
"02/04/2021","21.277","20.758","21.388","20.616","6.05M","2.81%"
"02/05/2021","21.860","21.277","22.396","21.088","6.39M","2.74%"
"02/08/2021","22.962","22.049","23.718","21.939","8.54M","5.04%"
"02/09/2021","22.742","23.057","23.986","22.333","6.54M","-0.96%"
"02/10/2021","22.789","22.915","23.372","22.427","3.87M","0.21%"
"02/11/2021","22.175","22.805","22.868","22.033","3.16M","-2.69%"
"02/12/2021","21.939","22.222","22.522","21.262","3.86M","-1.06%"
"02/15/2021","22.317","22.254","22.600","22.128","3.24M","1.72%"
"02/16/2021","22.411","22.647","23.151","21.797","5.08M","0.42%"
"02/17/2021","22.868","22.522","23.309","22.459","6.44M","2.04%"
"02/18/2021","22.821","23.025","23.545","22.663","4.62M","-0.21%"
"02/19/2021","23.608","23.057","24.900","22.931","14.80M","3.45%"
"02/22/2021","23.482","23.860","24.175","23.199","7.29M","-0.53%"
