"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2022","3.44","3.44","3.44","3.44","4.03M","10.26%"
"07/13/2022","3.78","3.60","3.78","3.45","5.73M","9.88%"
"07/14/2022","4.15","4.14","4.15","4.01","5.54M","9.79%"
"07/18/2022","4.56","4.56","4.56","4.02","14.31M","9.88%"
"07/19/2022","5.02","4.91","5.02","4.82","2.96M","10.09%"
"07/20/2022","5.52","5.52","5.52","5.13","7.30M","9.96%"
"07/21/2022","5.92","5.80","6.04","5.19","43.80M","7.25%"
"07/22/2022","6.51","5.91","6.51","5.78","5.76M","9.97%"
"07/25/2022","7.16","7.16","7.16","6.85","9.81M","9.98%"
"07/26/2022","6.44","7.59","7.88","6.44","24.34M","-10.06%"
"07/27/2022","6.80","5.80","6.96","5.80","7.53M","5.59%"
"07/28/2022","7.40","6.60","7.40","6.60","4.97M","8.82%"
"07/29/2022","7.30","7.40","7.84","7.20","2.18M","-1.35%"
"08/01/2022","7.18","7.31","7.39","6.95","2.61M","-1.64%"
"08/02/2022","7.52","7.15","7.90","7.00","4.84M","4.74%"
"08/03/2022","7.36","7.52","7.67","7.20","1.81M","-2.13%"
"08/04/2022","7.12","7.35","7.35","7.00","1.43M","-3.26%"
"08/05/2022","7.56","7.13","7.57","6.88","1.98M","6.18%"
"08/08/2022","7.88","7.56","7.88","7.34","1.80M","4.23%"
"08/09/2022","8.66","7.88","8.66","7.87","2.20M","9.90%"
"08/10/2022","8.36","8.52","9.02","8.12","2.05M","-3.46%"
"08/11/2022","8.34","8.21","8.48","7.81","1.69M","-0.24%"
"08/12/2022","8.20","8.28","8.40","8.06","640.57K","-1.68%"
"08/15/2022","8.12","8.20","8.29","7.88","5.94M","-0.98%"
"08/16/2022","7.98","8.12","8.14","7.92","749.77K","-1.72%"
"08/17/2022","8.78","7.99","8.78","7.99","1.91M","10.03%"
"08/18/2022","8.80","9.13","9.38","8.74","2.28M","0.23%"
"08/19/2022","8.81","8.41","9.00","8.41","961.77K","0.11%"
"08/22/2022","8.72","8.85","9.19","8.60","656.63K","-1.02%"
"08/23/2022","8.61","8.72","9.08","8.60","694.62K","-1.26%"
