"Date","Price","Open","High","Low","Vol.","Change %"
"01/19/2023","14.96","14.96","14.96","14.96","190.21K","10.00%"
"01/20/2023","16.45","16.45","16.45","16.45","51.44K","9.96%"
"01/23/2023","18.09","18.09","18.09","18.09","346.36K","9.97%"
"01/24/2023","19.89","19.89","19.89","19.89","10.25M","9.95%"
"01/25/2023","21.86","21.86","21.86","21.86","575.74K","9.90%"
"01/26/2023","24.04","24.04","24.04","24.04","911.81K","9.97%"
"01/27/2023","26.44","26.44","26.44","26.42","77.05M","9.98%"
"01/30/2023","29.07","29.07","29.07","28.69","86.23M","9.95%"
"01/31/2023","26.89","28.97","30.65","26.18","293.57M","-7.50%"
"02/01/2023","25.86","27.21","28.14","25.29","90.69M","-3.83%"
"02/02/2023","24.36","26.16","26.65","23.31","86.90M","-5.80%"
"02/03/2023","26.36","24.58","26.79","23.47","82.75M","8.21%"
"02/06/2023","26.95","25.52","27.21","24.26","14.98M","2.24%"
"02/07/2023","24.26","26.02","26.51","24.26","29.85M","-9.98%"
"02/08/2023","22.10","24.02","24.02","22.10","1.92M","-8.90%"
"02/15/2023","26.67","24.24","26.67","23.33","41.54M","20.68%"
"02/16/2023","24.83","27.60","28.55","24.44","54.70M","-6.90%"
"02/17/2023","25.35","24.59","25.96","23.65","47.13M","2.09%"
"02/20/2023","27.88","25.49","27.88","24.99","54.64M","9.98%"
"02/21/2023","28.59","28.12","30.37","27.40","67.12M","2.55%"
"02/22/2023","30.73","28.61","31.22","27.58","57.59M","7.49%"
"02/23/2023","33.80","30.69","33.80","30.27","50.00M","9.99%"
"02/24/2023","36.01","34.71","37.08","33.95","104.96M","6.54%"
"02/27/2023","36.72","35.99","39.16","35.18","108.31M","1.97%"
"02/28/2023","38.84","36.59","39.30","35.73","78.13M","5.77%"
"03/01/2023","41.06","39.95","41.14","39.81","52.99M","5.72%"
"03/02/2023","39.32","42.54","42.84","38.58","81.33M","-4.24%"
"03/03/2023","39.87","39.12","40.40","37.61","62.60M","1.40%"
"03/06/2023","43.85","40.74","43.85","40.40","52.36M","9.98%"
"03/07/2023","48.22","45.71","48.22","45.37","120.06M","9.97%"
"03/08/2023","45.61","48.18","51.69","45.61","128.28M","-5.41%"
"03/09/2023","48.48","45.59","48.48","44.12","100.60M","6.29%"
"03/10/2023","51.64","49.47","52.58","48.68","107.71M","6.52%"
