"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2021","20.08","20.00","20.36","19.93","10.53M","0.40%"
"01/05/2021","20.02","19.89","20.46","19.76","15.65M","-0.30%"
"01/06/2021","20.02","20.12","20.21","19.76","12.23M","0.00%"
"01/07/2021","19.98","20.08","20.14","19.78","7.91M","-0.20%"
"01/08/2021","20.38","20.10","20.38","20.00","10.36M","2.00%"
"01/11/2021","20.65","20.34","20.95","20.21","20.00M","1.32%"
"01/12/2021","21.03","20.68","21.06","20.57","10.10M","1.84%"
"01/13/2021","20.84","21.08","21.22","20.70","6.96M","-0.90%"
"01/14/2021","20.95","20.93","21.01","20.68","6.75M","0.53%"
"01/15/2021","20.29","20.82","20.91","20.27","8.23M","-3.15%"
"01/18/2021","21.04","20.29","21.04","19.85","8.56M","3.70%"
"01/19/2021","21.12","21.08","21.25","20.91","7.89M","0.38%"
"01/20/2021","21.46","21.14","21.46","20.57","12.02M","1.61%"
"01/21/2021","20.84","21.48","21.75","20.84","9.48M","-2.89%"
"01/22/2021","20.86","20.78","20.97","20.46","9.12M","0.10%"
"01/25/2021","20.50","20.99","21.12","20.48","6.03M","-1.73%"
"01/26/2021","20.34","20.46","20.72","20.29","6.91M","-0.78%"
"01/27/2021","19.34","20.31","20.38","19.34","11.04M","-4.92%"
"01/28/2021","19.59","19.17","19.85","19.06","11.39M","1.29%"
"01/29/2021","19.13","19.26","19.79","19.07","12.65M","-2.35%"
"02/01/2021","19.36","19.32","19.51","19.11","6.50M","1.20%"
"02/02/2021","19.51","19.49","19.81","19.45","10.33M","0.77%"
"02/03/2021","20.31","19.61","20.34","19.61","14.47M","4.10%"
"02/04/2021","20.42","20.27","20.74","20.21","11.11M","0.54%"
"02/05/2021","20.14","20.48","20.65","20.14","7.19M","-1.37%"
"02/08/2021","20.44","20.29","20.55","19.89","8.51M","1.49%"
"02/09/2021","20.78","20.36","21.18","20.36","15.48M","1.66%"
"02/10/2021","21.12","20.87","21.12","20.65","8.27M","1.64%"
"02/11/2021","21.48","21.22","21.67","21.20","12.93M","1.70%"
"02/12/2021","21.50","21.35","21.95","21.20","14.81M","0.09%"
"02/15/2021","21.37","21.69","21.82","21.23","9.90M","-0.60%"
"02/16/2021","21.16","21.50","22.03","20.95","25.16M","-0.98%"
"02/17/2021","20.80","21.22","21.58","20.74","16.61M","-1.70%"
"02/18/2021","21.23","20.89","21.25","20.80","13.51M","2.07%"
"02/19/2021","21.29","21.12","21.52","21.10","14.44M","0.28%"
"02/22/2021","21.92","21.37","21.97","21.31","22.74M","2.96%"
"02/23/2021","21.29","21.97","22.14","21.29","15.10M","-2.87%"
"02/24/2021","20.99","21.12","21.42","20.82","11.73M","-1.41%"
"02/25/2021","21.40","21.40","21.52","20.78","12.71M","1.95%"
"02/26/2021","20.44","20.76","21.31","20.44","13.53M","-4.49%"
"03/01/2021","21.80","20.68","21.80","20.67","11.77M","6.65%"
"03/02/2021","21.76","21.78","22.12","21.59","7.97M","-0.18%"
"03/03/2021","21.76","21.84","22.26","21.46","9.22M","0.00%"
"03/04/2021","21.69","21.65","21.86","21.54","6.31M","-0.32%"
"03/05/2021","21.86","21.61","22.09","21.58","6.74M","0.78%"
"03/08/2021","21.37","21.90","21.95","21.27","7.69M","-2.24%"
"03/09/2021","22.03","21.61","22.60","21.61","19.32M","3.09%"
"03/10/2021","22.20","22.01","22.22","21.84","6.27M","0.77%"
"03/11/2021","22.12","22.26","22.50","22.05","7.37M","-0.36%"
"03/12/2021","22.05","22.07","22.20","21.84","5.04M","-0.32%"
"03/15/2021","22.05","22.01","22.24","21.90","5.25M","0.00%"
"03/16/2021","22.24","22.07","22.39","21.78","9.59M","0.86%"
"03/17/2021","22.81","22.31","24.13","22.24","38.10M","2.56%"
"03/18/2021","22.52","23.09","23.32","22.18","20.17M","-1.27%"
"03/19/2021","21.73","22.50","22.52","21.71","11.89M","-3.51%"
"03/22/2021","19.57","19.89","20.36","19.57","20.59M","-9.94%"
"03/23/2021","19.28","18.00","19.70","17.72","32.23M","-1.48%"
"03/24/2021","19.25","19.45","19.89","19.09","20.42M","-0.16%"
"03/25/2021","18.96","19.42","19.76","18.96","15.93M","-1.51%"
"03/26/2021","18.23","19.21","19.28","18.09","21.35M","-3.85%"
"03/29/2021","18.09","18.22","18.63","18.09","16.56M","-0.77%"
"03/30/2021","18.47","18.11","18.76","18.02","21.05M","2.10%"
"03/31/2021","18.38","18.39","18.59","18.25","13.14M","-0.49%"
"04/01/2021","19.06","18.49","19.15","18.48","12.15M","3.70%"
"04/02/2021","19.00","19.23","19.28","18.86","6.85M","-0.31%"
"04/05/2021","19.00","18.98","19.13","18.92","5.03M","0.00%"
"04/06/2021","18.61","19.02","19.15","18.60","13.42M","-2.05%"
"04/07/2021","18.40","18.61","18.61","18.18","13.64M","-1.13%"
"04/08/2021","18.52","18.48","18.74","18.48","11.19M","0.65%"
"04/09/2021","18.23","18.47","18.47","17.90","11.94M","-1.57%"
"04/12/2021","17.58","18.23","18.30","17.58","15.99M","-3.57%"
"04/13/2021","17.53","17.64","17.73","17.22","13.26M","-0.28%"
"04/14/2021","18.20","17.71","18.20","17.71","12.22M","3.82%"
"04/15/2021","18.13","18.26","18.51","17.94","17.08M","-0.38%"
"04/16/2021","17.78","18.02","18.09","17.78","11.35M","-1.93%"
"04/19/2021","17.62","17.79","17.94","17.42","10.84M","-0.90%"
"04/20/2021","17.47","17.65","17.81","17.40","9.21M","-0.85%"
"04/21/2021","16.71","17.46","17.49","16.69","16.58M","-4.35%"
"04/22/2021","16.83","16.48","16.88","16.33","24.77M","0.72%"
"04/26/2021","17.52","16.84","17.52","16.84","18.10M","4.10%"
"04/27/2021","17.87","17.56","18.06","17.56","17.78M","2.00%"
"04/28/2021","17.64","17.81","18.18","17.56","13.00M","-1.29%"
"04/29/2021","18.11","17.70","18.23","17.70","14.51M","2.66%"
"04/30/2021","17.91","18.05","18.15","17.84","11.51M","-1.10%"
"05/03/2021","18.46","17.92","18.47","17.88","10.33M","3.07%"
"05/04/2021","18.21","18.51","18.82","18.18","22.67M","-1.35%"
"05/05/2021","18.23","18.25","18.36","18.06","11.76M","0.11%"
"05/06/2021","18.28","18.26","18.45","18.16","14.06M","0.27%"
"05/07/2021","18.47","18.40","18.54","18.18","24.02M","1.04%"
"05/10/2021","18.92","18.52","18.92","18.52","17.97M","2.44%"
"05/11/2021","18.77","18.68","18.83","18.59","13.64M","-0.79%"
"05/12/2021","18.66","18.63","18.79","18.63","3.68M","-0.59%"
"05/17/2021","18.81","18.68","19.01","18.68","15.19M","0.80%"
"05/18/2021","18.93","18.97","19.09","18.86","14.59M","0.64%"
"05/20/2021","18.67","18.80","18.82","18.61","14.93M","-1.37%"
"05/21/2021","18.73","18.76","18.87","18.68","11.18M","0.32%"
"05/24/2021","18.54","18.77","18.77","18.46","11.25M","-1.01%"
"05/25/2021","17.97","18.62","18.86","17.97","22.11M","-3.07%"
"05/26/2021","18.26","18.16","18.29","17.86","14.68M","1.61%"
"05/27/2021","17.81","18.18","18.31","17.81","18.54M","-2.46%"
"05/28/2021","18.17","17.80","18.19","17.80","15.55M","2.02%"
"05/31/2021","18.17","18.17","18.33","18.06","9.03M","0.00%"
"06/01/2021","18.47","18.25","18.53","18.24","13.78M","1.65%"
"06/02/2021","18.29","18.31","18.42","18.21","11.12M","-0.97%"
"06/03/2021","18.48","18.27","18.57","18.20","16.14M","1.04%"
"06/04/2021","18.50","18.49","18.66","18.42","11.15M","0.11%"
"06/07/2021","18.78","18.50","18.85","18.49","11.55M","1.51%"
"06/08/2021","18.83","18.76","18.93","18.63","18.21M","0.27%"
"06/09/2021","18.87","18.85","18.96","18.80","13.43M","0.21%"
"06/10/2021","18.96","18.87","19.01","18.86","12.67M","0.48%"
"06/11/2021","18.92","19.01","19.12","18.87","12.89M","-0.21%"
"06/14/2021","18.79","19.00","19.04","18.71","10.08M","-0.69%"
"06/15/2021","18.55","18.73","18.77","18.40","11.03M","-1.28%"
"06/16/2021","18.34","18.52","18.69","18.34","7.68M","-1.13%"
"06/17/2021","18.14","18.20","18.38","18.14","9.93M","-1.09%"
"06/18/2021","17.85","18.19","18.33","17.83","15.35M","-1.60%"
"06/21/2021","18.18","17.85","18.18","17.72","12.46M","1.85%"
"06/22/2021","18.53","18.22","18.53","18.20","14.47M","1.93%"
"06/23/2021","18.44","18.60","18.68","18.41","9.90M","-0.49%"
"06/24/2021","18.69","18.47","18.85","18.47","11.22M","1.36%"
"06/25/2021","18.37","18.69","18.76","18.34","7.49M","-1.71%"
"06/28/2021","18.21","18.46","18.46","18.10","7.75M","-0.87%"
"06/29/2021","18.40","18.18","18.40","18.03","11.49M","1.04%"
"06/30/2021","17.93","18.34","18.42","17.92","12.22M","-2.55%"
"07/01/2021","18.12","18.02","18.18","18.00","7.54M","1.06%"
"07/02/2021","19.02","18.73","19.23","18.73","45.34M","4.97%"
"07/05/2021","19.27","19.00","19.33","18.90","14.93M","1.31%"
"07/06/2021","19.16","19.23","19.36","19.14","13.25M","-0.57%"
"07/07/2021","19.27","19.15","19.35","19.15","10.92M","0.57%"
"07/08/2021","19.32","19.20","19.38","19.18","14.33M","0.26%"
"07/09/2021","19.46","19.36","19.51","19.28","12.58M","0.72%"
"07/12/2021","19.08","19.50","19.64","19.04","14.29M","-1.95%"
"07/13/2021","19.26","19.16","19.37","19.11","11.78M","0.94%"
"07/14/2021","19.76","19.26","19.76","19.26","8.67M","2.60%"
"07/16/2021","19.56","19.76","19.81","19.53","7.12M","-1.01%"
"07/19/2021","19.30","19.44","19.52","19.27","3.68M","-1.33%"
"07/26/2021","19.24","19.32","19.41","19.10","8.89M","-0.31%"
"07/27/2021","19.34","19.20","19.41","19.03","11.33M","0.52%"
"07/28/2021","19.55","19.34","19.60","19.33","9.74M","1.09%"
"07/29/2021","20.15","19.66","20.21","19.66","10.67M","3.07%"
"07/30/2021","20.11","19.95","20.23","19.87","7.31M","-0.20%"
"08/02/2021","20.21","20.15","20.34","20.11","4.90M","0.50%"
"08/03/2021","20.19","20.15","20.30","20.01","5.87M","-0.10%"
